edge_id,source_work_id,target_work_id,reason_ids,reason_count
edge-a-funny-thing-happened-on-the-way-to-thor-s-hammer-2011-thor-2011,a-funny-thing-happened-on-the-way-to-thor-s-hammer-2011,thor-2011,reason-a-funny-thing-happened-on-the-way-to-thor-s-hammer-2011-thor-2011-explicit-relation-work-relation-a-funny-thing-happened-on-the-way-to-thor-s-hammer-2011-thor-2011-story-link,1
edge-agatha-all-along-2024-visionquest-2026-10-14,agatha-all-along-2024,visionquest-2026-10-14,reason-agatha-all-along-2024-visionquest-2026-10-14-explicit-relation-work-relation-agatha-all-along-2024-visionquest-2026-10-14-sequel,1
edge-agent-carter-one-shot-2013-marvel-s-agent-carter-series-20152016,agent-carter-one-shot-2013,marvel-s-agent-carter-series-20152016,reason-agent-carter-one-shot-2013-marvel-s-agent-carter-series-20152016-explicit-relation-work-relation-agent-carter-one-shot-2013-marvel-s-agent-carter-series-20152016-story-link,1
edge-all-hail-the-king-2014-shang-chi-and-the-legend-of-the-ten-rings-2021,all-hail-the-king-2014,shang-chi-and-the-legend-of-the-ten-rings-2021,reason-all-hail-the-king-2014-shang-chi-and-the-legend-of-the-ten-rings-2021-explicit-relation-work-relation-all-hail-the-king-2014-shang-chi-and-the-legend-of-the-ten-rings-2021-story-link,1
edge-ant-man-2015-ant-man-and-the-wasp-2018,ant-man-2015,ant-man-and-the-wasp-2018,reason-ant-man-2015-ant-man-and-the-wasp-2018-explicit-relation-work-relation-ant-man-2015-ant-man-and-the-wasp-2018-sequel,1
edge-ant-man-2015-captain-america-civil-war-2016,ant-man-2015,captain-america-civil-war-2016,reason-ant-man-2015-captain-america-civil-war-2016-explicit-relation-work-relation-ant-man-2015-captain-america-civil-war-2016-crossover,1
edge-ant-man-and-the-wasp-2018-ant-man-and-the-wasp-quantumania-2023,ant-man-and-the-wasp-2018,ant-man-and-the-wasp-quantumania-2023,reason-ant-man-and-the-wasp-2018-ant-man-and-the-wasp-quantumania-2023-explicit-relation-work-relation-ant-man-and-the-wasp-2018-ant-man-and-the-wasp-quantumania-2023-sequel,1
edge-ant-man-and-the-wasp-2018-avengers-endgame-2019,ant-man-and-the-wasp-2018,avengers-endgame-2019,reason-ant-man-and-the-wasp-2018-avengers-endgame-2019-explicit-relation-work-relation-ant-man-and-the-wasp-2018-avengers-endgame-2019-lead-in,1
edge-ant-man-and-the-wasp-2018-thunderbolts-new-avengers-2025,ant-man-and-the-wasp-2018,thunderbolts-new-avengers-2025,reason-ant-man-and-the-wasp-2018-thunderbolts-new-avengers-2025-explicit-relation-work-relation-ant-man-and-the-wasp-2018-thunderbolts-new-avengers-2025-lead-in,1
edge-ant-man-and-the-wasp-quantumania-2023-avengers-doomsday-2026-12-18,ant-man-and-the-wasp-quantumania-2023,avengers-doomsday-2026-12-18,reason-ant-man-and-the-wasp-quantumania-2023-avengers-doomsday-2026-12-18-explicit-relation-work-relation-ant-man-and-the-wasp-quantumania-2023-avengers-doomsday-2026-12-18-promotion,1
