reason_id,source_work_id,target_work_id,reason_kind,entity_id,relation_id,transition_id,event_id,event_occurrence_id,source_continuity_id,destination_continuity_id,participant_fact_ids,support_fact_ids,appearance_kinds,verification_statuses,certainty_values,notes
reason-a-funny-thing-happened-on-the-way-to-thor-s-hammer-2011-thor-2011-explicit-relation-work-relation-a-funny-thing-happened-on-the-way-to-thor-s-hammer-2011-thor-2011-story-link,a-funny-thing-happened-on-the-way-to-thor-s-hammer-2011,thor-2011,explicit_relation,,work-relation-a-funny-thing-happened-on-the-way-to-thor-s-hammer-2011-thor-2011-story-link,,,,,,,work-relation-a-funny-thing-happened-on-the-way-to-thor-s-hammer-2011-thor-2011-story-link,,legacy_seed,probable,story_link; story; direct
reason-agatha-all-along-2024-visionquest-2026-10-14-explicit-relation-work-relation-agatha-all-along-2024-visionquest-2026-10-14-sequel,agatha-all-along-2024,visionquest-2026-10-14,explicit_relation,,work-relation-agatha-all-along-2024-visionquest-2026-10-14-sequel,,,,,,,work-relation-agatha-all-along-2024-visionquest-2026-10-14-sequel,,source_verified,confirmed,sequel; story; strong
reason-agent-carter-one-shot-2013-marvel-s-agent-carter-series-20152016-explicit-relation-work-relation-agent-carter-one-shot-2013-marvel-s-agent-carter-series-20152016-story-link,agent-carter-one-shot-2013,marvel-s-agent-carter-series-20152016,explicit_relation,,work-relation-agent-carter-one-shot-2013-marvel-s-agent-carter-series-20152016-story-link,,,,,,,work-relation-agent-carter-one-shot-2013-marvel-s-agent-carter-series-20152016-story-link,,legacy_seed,probable,story_link; story; strong
reason-all-hail-the-king-2014-shang-chi-and-the-legend-of-the-ten-rings-2021-explicit-relation-work-relation-all-hail-the-king-2014-shang-chi-and-the-legend-of-the-ten-rings-2021-story-link,all-hail-the-king-2014,shang-chi-and-the-legend-of-the-ten-rings-2021,explicit_relation,,work-relation-all-hail-the-king-2014-shang-chi-and-the-legend-of-the-ten-rings-2021-story-link,,,,,,,work-relation-all-hail-the-king-2014-shang-chi-and-the-legend-of-the-ten-rings-2021-story-link,,legacy_seed,probable,story_link; story; indirect
reason-ant-man-2015-ant-man-and-the-wasp-2018-explicit-relation-work-relation-ant-man-2015-ant-man-and-the-wasp-2018-sequel,ant-man-2015,ant-man-and-the-wasp-2018,explicit_relation,,work-relation-ant-man-2015-ant-man-and-the-wasp-2018-sequel,,,,,,,work-relation-ant-man-2015-ant-man-and-the-wasp-2018-sequel,,legacy_seed,confirmed,sequel; story; direct
reason-ant-man-2015-captain-america-civil-war-2016-explicit-relation-work-relation-ant-man-2015-captain-america-civil-war-2016-crossover,ant-man-2015,captain-america-civil-war-2016,explicit_relation,,work-relation-ant-man-2015-captain-america-civil-war-2016-crossover,,,,,,,work-relation-ant-man-2015-captain-america-civil-war-2016-crossover,,legacy_seed,probable,crossover; crossover; indirect
reason-ant-man-and-the-wasp-2018-ant-man-and-the-wasp-quantumania-2023-explicit-relation-work-relation-ant-man-and-the-wasp-2018-ant-man-and-the-wasp-quantumania-2023-sequel,ant-man-and-the-wasp-2018,ant-man-and-the-wasp-quantumania-2023,explicit_relation,,work-relation-ant-man-and-the-wasp-2018-ant-man-and-the-wasp-quantumania-2023-sequel,,,,,,,work-relation-ant-man-and-the-wasp-2018-ant-man-and-the-wasp-quantumania-2023-sequel,,legacy_seed,confirmed,sequel; story; direct
reason-ant-man-and-the-wasp-2018-avengers-endgame-2019-explicit-relation-work-relation-ant-man-and-the-wasp-2018-avengers-endgame-2019-lead-in,ant-man-and-the-wasp-2018,avengers-endgame-2019,explicit_relation,,work-relation-ant-man-and-the-wasp-2018-avengers-endgame-2019-lead-in,,,,,,,work-relation-ant-man-and-the-wasp-2018-avengers-endgame-2019-lead-in,,legacy_seed,probable,lead_in; story; direct
reason-ant-man-and-the-wasp-2018-thunderbolts-new-avengers-2025-explicit-relation-work-relation-ant-man-and-the-wasp-2018-thunderbolts-new-avengers-2025-lead-in,ant-man-and-the-wasp-2018,thunderbolts-new-avengers-2025,explicit_relation,,work-relation-ant-man-and-the-wasp-2018-thunderbolts-new-avengers-2025-lead-in,,,,,,,work-relation-ant-man-and-the-wasp-2018-thunderbolts-new-avengers-2025-lead-in,,legacy_seed,probable,lead_in; story; indirect
reason-ant-man-and-the-wasp-quantumania-2023-avengers-doomsday-2026-12-18-explicit-relation-work-relation-ant-man-and-the-wasp-quantumania-2023-avengers-doomsday-2026-12-18-promotion,ant-man-and-the-wasp-quantumania-2023,avengers-doomsday-2026-12-18,explicit_relation,,work-relation-ant-man-and-the-wasp-quantumania-2023-avengers-doomsday-2026-12-18-promotion,,,,,,,work-relation-ant-man-and-the-wasp-quantumania-2023-avengers-doomsday-2026-12-18-promotion,,legacy_seed,confirmed,promotion; promotion; promotional
reason-avengers-age-of-ultron-2015-agents-of-s-h-i-e-l-d-20132020-explicit-relation-work-relation-avengers-age-of-ultron-2015-agents-of-s-h-i-e-l-d-20132020-world-lore,avengers-age-of-ultron-2015,agents-of-s-h-i-e-l-d-20132020,explicit_relation,,work-relation-avengers-age-of-ultron-2015-agents-of-s-h-i-e-l-d-20132020-world-lore,,,,,,,work-relation-avengers-age-of-ultron-2015-agents-of-s-h-i-e-l-d-20132020-world-lore,,legacy_seed,probable,world_lore; world_lore; indirect
reason-avengers-age-of-ultron-2015-avengers-doomsday-2026-12-18-shared-entity-entity-x-7250204b23,avengers-age-of-ultron-2015,avengers-doomsday-2026-12-18,shared_entity,entity-x-7250204b23,,,,,,,,appearance-avengers-age-of-ultron-2015-entity-x-7250204b23|appearance-avengers-doomsday-2026-12-18-entity-x-7250204b23,unknown,legacy_seed,unknown,
reason-avengers-age-of-ultron-2015-avengers-endgame-2019-shared-entity-entity-x-42251c0735,avengers-age-of-ultron-2015,avengers-endgame-2019,shared_entity,entity-x-42251c0735,,,,,,,,appearance-avengers-age-of-ultron-2015-entity-x-42251c0735|appearance-avengers-endgame-2019-entity-x-42251c0735,unknown,legacy_seed,unknown,
reason-avengers-age-of-ultron-2015-avengers-endgame-2019-shared-entity-entity-x-50a34df778,avengers-age-of-ultron-2015,avengers-endgame-2019,shared_entity,entity-x-50a34df778,,,,,,,,appearance-avengers-age-of-ultron-2015-entity-x-50a34df778|appearance-avengers-endgame-2019-entity-x-50a34df778,unknown,legacy_seed,unknown,
reason-avengers-age-of-ultron-2015-avengers-endgame-2019-shared-entity-entity-x-5a2ee964f0,avengers-age-of-ultron-2015,avengers-endgame-2019,shared_entity,entity-x-5a2ee964f0,,,,,,,,appearance-avengers-age-of-ultron-2015-entity-x-5a2ee964f0|appearance-avengers-endgame-2019-entity-x-5a2ee964f0,unknown,legacy_seed,unknown,
reason-avengers-age-of-ultron-2015-avengers-endgame-2019-shared-entity-entity-x-605a05a114,avengers-age-of-ultron-2015,avengers-endgame-2019,shared_entity,entity-x-605a05a114,,,,,,,,appearance-avengers-age-of-ultron-2015-entity-x-605a05a114|appearance-avengers-endgame-2019-entity-x-605a05a114,unknown,legacy_seed,unknown,
