character,work_id,title_ja,title_en,legacy_row_id,verification_status,legacy_source
トニー・スターク／アイアンマン,iron-man-2008,アイアンマン,Iron Man,charlink-000001,legacy_seed,index.html:CHAR_LINKS
トニー・スターク／アイアンマン,iron-man-2-2010,アイアンマン2,Iron Man 2,charlink-000002,legacy_seed,index.html:CHAR_LINKS
トニー・スターク／アイアンマン,the-avengers-2012,アベンジャーズ,The Avengers,charlink-000003,legacy_seed,index.html:CHAR_LINKS
トニー・スターク／アイアンマン,iron-man-3-2013,アイアンマン3,Iron Man 3,charlink-000004,legacy_seed,index.html:CHAR_LINKS
トニー・スターク／アイアンマン,avengers-age-of-ultron-2015,アベンジャーズ／エイジ・オブ・ウルトロン,Avengers: Age of Ultron,charlink-000005,legacy_seed,index.html:CHAR_LINKS
トニー・スターク／アイアンマン,captain-america-civil-war-2016,シビル・ウォー／キャプテン・アメリカ,Captain America: Civil War,charlink-000006,legacy_seed,index.html:CHAR_LINKS
トニー・スターク／アイアンマン,spider-man-homecoming-2017,スパイダーマン：ホームカミング,Spider-Man: Homecoming,charlink-000007,legacy_seed,index.html:CHAR_LINKS
トニー・スターク／アイアンマン,avengers-infinity-war-2018,アベンジャーズ／インフィニティ・ウォー,Avengers: Infinity War,charlink-000008,legacy_seed,index.html:CHAR_LINKS
トニー・スターク／アイアンマン,avengers-endgame-2019,アベンジャーズ／エンドゲーム,Avengers: Endgame,charlink-000009,legacy_seed,index.html:CHAR_LINKS
スティーブ・ロジャース／キャプテン・アメリカ,captain-america-the-first-avenger-2011,キャプテン・アメリカ／ザ・ファースト・アベンジャー,Captain America: The First Avenger,charlink-000010,legacy_seed,index.html:CHAR_LINKS
スティーブ・ロジャース／キャプテン・アメリカ,the-avengers-2012,アベンジャーズ,The Avengers,charlink-000011,legacy_seed,index.html:CHAR_LINKS
スティーブ・ロジャース／キャプテン・アメリカ,captain-america-the-winter-soldier-2014,キャプテン・アメリカ／ウィンター・ソルジャー,Captain America: The Winter Soldier,charlink-000012,legacy_seed,index.html:CHAR_LINKS
スティーブ・ロジャース／キャプテン・アメリカ,avengers-age-of-ultron-2015,アベンジャーズ／エイジ・オブ・ウルトロン,Avengers: Age of Ultron,charlink-000013,legacy_seed,index.html:CHAR_LINKS
スティーブ・ロジャース／キャプテン・アメリカ,captain-america-civil-war-2016,シビル・ウォー／キャプテン・アメリカ,Captain America: Civil War,charlink-000014,legacy_seed,index.html:CHAR_LINKS
スティーブ・ロジャース／キャプテン・アメリカ,avengers-infinity-war-2018,アベンジャーズ／インフィニティ・ウォー,Avengers: Infinity War,charlink-000015,legacy_seed,index.html:CHAR_LINKS
スティーブ・ロジャース／キャプテン・アメリカ,avengers-endgame-2019,アベンジャーズ／エンドゲーム,Avengers: Endgame,charlink-000016,legacy_seed,index.html:CHAR_LINKS
ソー,thor-2011,マイティ・ソー,Thor,charlink-000017,legacy_seed,index.html:CHAR_LINKS
ソー,the-avengers-2012,アベンジャーズ,The Avengers,charlink-000018,legacy_seed,index.html:CHAR_LINKS
ソー,thor-the-dark-world-2013,マイティ・ソー／ダーク・ワールド,Thor: The Dark World,charlink-000019,legacy_seed,index.html:CHAR_LINKS
ソー,avengers-age-of-ultron-2015,アベンジャーズ／エイジ・オブ・ウルトロン,Avengers: Age of Ultron,charlink-000020,legacy_seed,index.html:CHAR_LINKS
ソー,thor-ragnarok-2017,マイティ・ソー バトルロイヤル,Thor: Ragnarok,charlink-000021,legacy_seed,index.html:CHAR_LINKS
ソー,avengers-infinity-war-2018,アベンジャーズ／インフィニティ・ウォー,Avengers: Infinity War,charlink-000022,legacy_seed,index.html:CHAR_LINKS
ソー,avengers-endgame-2019,アベンジャーズ／エンドゲーム,Avengers: Endgame,charlink-000023,legacy_seed,index.html:CHAR_LINKS
ソー,thor-love-and-thunder-2022,ソー：ラブ＆サンダー,Thor: Love and Thunder,charlink-000024,legacy_seed,index.html:CHAR_LINKS
ナターシャ・ロマノフ／ブラック・ウィドウ,iron-man-2-2010,アイアンマン2,Iron Man 2,charlink-000025,legacy_seed,index.html:CHAR_LINKS
ナターシャ・ロマノフ／ブラック・ウィドウ,the-avengers-2012,アベンジャーズ,The Avengers,charlink-000026,legacy_seed,index.html:CHAR_LINKS
ナターシャ・ロマノフ／ブラック・ウィドウ,captain-america-the-winter-soldier-2014,キャプテン・アメリカ／ウィンター・ソルジャー,Captain America: The Winter Soldier,charlink-000027,legacy_seed,index.html:CHAR_LINKS
ナターシャ・ロマノフ／ブラック・ウィドウ,avengers-age-of-ultron-2015,アベンジャーズ／エイジ・オブ・ウルトロン,Avengers: Age of Ultron,charlink-000028,legacy_seed,index.html:CHAR_LINKS
ナターシャ・ロマノフ／ブラック・ウィドウ,captain-america-civil-war-2016,シビル・ウォー／キャプテン・アメリカ,Captain America: Civil War,charlink-000029,legacy_seed,index.html:CHAR_LINKS
ナターシャ・ロマノフ／ブラック・ウィドウ,avengers-infinity-war-2018,アベンジャーズ／インフィニティ・ウォー,Avengers: Infinity War,charlink-000030,legacy_seed,index.html:CHAR_LINKS
ナターシャ・ロマノフ／ブラック・ウィドウ,avengers-endgame-2019,アベンジャーズ／エンドゲーム,Avengers: Endgame,charlink-000031,legacy_seed,index.html:CHAR_LINKS
ナターシャ・ロマノフ／ブラック・ウィドウ,black-widow-2021,ブラック・ウィドウ,Black Widow,charlink-000032,legacy_seed,index.html:CHAR_LINKS
クリント・バートン／ホークアイ,the-avengers-2012,アベンジャーズ,The Avengers,charlink-000033,legacy_seed,index.html:CHAR_LINKS
クリント・バートン／ホークアイ,avengers-age-of-ultron-2015,アベンジャーズ／エイジ・オブ・ウルトロン,Avengers: Age of Ultron,charlink-000034,legacy_seed,index.html:CHAR_LINKS
